iter	Passed	Remaining
399	39960	9990
400	40077	9894
401	40180	9795
402	40285	9696
403	40384	9596
404	40483	9496
405	40584	9396
406	40675	9294
407	40772	9193
408	40871	9093
409	40971	8993
410	41074	8894
411	41170	8793
412	41274	8694
413	41389	8597
414	41493	8498
415	41637	8407
416	41777	8315
417	41952	8229
418	42065	8131
419	42207	8039
420	42417	7959
421	42547	7864
422	42667	7766
423	42815	7674
424	42942	7578
425	43077	7482
426	43200	7385
427	43336	7290
428	43440	7189
429	43548	7089
430	43655	6988
431	43765	6889
432	43918	6795
433	44077	6703
434	44202	6604
435	44363	6512
436	44599	6429
437	44791	6340
438	44996	6252
439	45183	6161
440	45314	6062
441	45454	5964
442	45622	5870
443	45790	5775
444	45962	5680
445	46191	5592
446	46394	5500
447	46567	5405
448	46730	5307
449	46945	5216
450	47100	5117
451	47241	5016
452	47355	4913
453	47513	4814
454	47627	4710
455	47784	4610
456	47929	4509
457	48050	4406
458	48170	4302
459	48338	4203
460	48472	4100
461	48646	4001
462	48811	3900
463	49002	3801
464	49174	3701
465	49352	3600
466	49505	3498
467	49725	3400
468	49876	3296
469	50037	3193
470	50242	3093
471	50407	2990
472	50547	2885
473	50662	2778
474	50766	2671
475	50864	2564
476	50980	2458
477	51082	2351
478	51198	2244
479	51305	2137
480	51405	2030
481	51525	1924
482	51630	1817
483	51734	1710
484	51852	1603
485	51960	1496
486	52064	1389
487	52189	1283
488	52300	1176
489	52412	1069
490	52559	963
491	52733	857
492	52837	750
493	52931	642
494	53034	535
495	53136	428
496	53253	321
497	53374	214
498	53481	107
499	53579	0
